ID,sentence,sentence_shuffled
534,and how did little tim behave asked mrs cratchit when she had rallied bob on his credulity and bob had hugged his daughter to his hearts content,she his daughter how cratchit his bob content behave little credulity on had tim rallied to when and bob and his mrs had hearts did asked hugged
535,as good as gold said bob and better,better as bob said good as and gold
536,somehow he gets thoughtful sitting by himself so much and thinks the strangest things you ever heard,heard and much so sitting things you thoughtful he the by gets himself thinks strangest ever somehow
537,he told me coming home that he hoped the people saw him in the church because he was a cripple and it might be pleasant to them to remember upon christmas day who made lame beggars walk and blind men see bobs voice was tremulous when he told them this and trembled more when he said that tiny tim was growing strong and hearty,told was a blind men he when and to people them pleasant church remember was home christmas me he might strong who this lame tiny the walk cripple in voice the hoped coming him them tim it see he he that he be and and hearty tremulous and made to upon saw was beggars trembled told said growing day more that bobs because when
538,his active little crutch was heard upon the floor and back came tiny tim before another word was spoken escorted by his brother and sister to his stool before the fire and while bob turning up his cuffsas if poor fellow they were capable of being made more shabbycompounded some hot mixture in a jug with gin and lemons and stirred it round and round and put it on the hob to simmer master peter and the two ubiquitous young cratchits went to fetch the goose with which they soon returned in high procession,jug it gin spoken of cuffsas fetch upon in high while being came the the and and hob fellow another to capable with soon if young floor shabbycompounded were and and was put to turning some escorted tiny stirred two little sister more with in to it returned his active and back round the ubiquitous the mixture made cratchits word master crutch his hot they heard goose fire peter they went up and before brother his and simmer bob before poor stool lemons his procession tim round was and by the a which on
539,such a bustle ensued that you might have thought a goose the rarest of all birds a feathered phenomenon to which a black swan was a matter of courseand in truth it was something very like it in that house,it that bustle courseand house to all swan a the birds truth like feathered rarest might that in ensued such which of matter in black a thought of you very was phenomenon something was a have a a it goose
540,mrs cratchit made the gravy (ready beforehand in a little saucepan) hissing hot master peter mashed the potatoes with incredible vigour miss belinda sweetened up the applesauce martha dusted the hot plates bob took tiny tim beside him in a tiny corner at the table the two young cratchits set chairs for everybody not forgetting themselves and mounting guard upon their posts crammed spoons into their mouths lest they should shriek for goose before their turn came to be helped,made two tiny mashed the hot bob beforehand the everybody the themselves a for tim their a and peter be the upon mouths applesauce to up lest sweetened martha into dusted (ready him the in mounting chairs incredible the mrs with master forgetting before posts came little corner in cratchits miss saucepan) potatoes set hot they their cratchit table guard turn helped hissing young crammed goose vigour belinda shriek their took plates for beside at spoons not should gravy tiny
541,at last the dishes were set on and grace was said,the on was grace dishes last and at said set were
542,it was succeeded by a breathless pause as mrs cratchit looking slowly all along the carvingknife prepared to plunge it in the breast but when she did and when the long expected gush of stuffing issued forth one murmur of delight arose all round the board and even tiny tim excited by the two young cratchits beat on the table with the handle of his knife and feebly cried hurrah there never was such a goose,board a forth when murmur it was with the when as of the table mrs all tiny and there young tim along to round one cratchits but breast by breathless pause by on did knife gush issued carvingknife all it a never plunge even stuffing the in the excited delight the hurrah was cratchit goose of of beat expected handle succeeded and looking his cried two feebly she and prepared arose such the long slowly the
543,bob said he didnt believe there ever was such a goose cooked,a there cooked he didnt bob ever believe such goose said was
544,its tenderness and flavour size and cheapness were the themes of universal admiration,size and the admiration flavour themes tenderness its cheapness universal were and of
545,eked out by applesauce and mashed potatoes it was a sufficient dinner for the whole family indeed as mrs cratchit said with great delight (surveying one small atom of a bone upon the dish) they hadnt ate it all at last yet every one had had enough and the youngest cratchits in particular were steeped in sage and onion to the eyebrows but now the plates being changed by miss belinda mrs cratchit left the room alonetoo nervous to bear witnessesto take the pudding up and bring it in,mashed for dish) miss left being eked but the cratchits take mrs plates all room great with out steeped cratchit said a onion was the upon youngest by and ate as sufficient hadnt at the were sage potatoes alonetoo had of changed delight small family (surveying the atom eyebrows enough bring mrs applesauce in yet by up bear particular every they it pudding the dinner and cratchit a it in and now one indeed to witnessesto nervous had in one the last belinda and whole the it bone to
546,suppose it should not be done enough suppose it should break in turning out suppose somebody should have got over the wall of the backyard and stolen it while they were merry with the goosea supposition at which the two young cratchits became livid all sorts of horrors were supposed,young cratchits wall they should while turning out backyard sorts suppose suppose be it all the got break somebody stolen suppose two the it at enough the which over with should of of have should became goosea not and were the merry done in supposed it livid supposition horrors were
547,hallo a great deal of steam the pudding was out of the copper,a out deal of was the great steam pudding of the copper hallo
548,a smell like a washingday that was the cloth,that smell a washingday the like a was cloth
549,a smell like an eatinghouse and a pastrycooks next door to each other with a laundresss next door to that that was the pudding in half a minute mrs cratchit enteredflushed but smiling proudlywith the pudding like a speckled cannonball so hard and firm blazing in half of halfaquartern of ignited brandy and bedight with christmas holly stuck into the top,and was to an mrs next smiling stuck door each but the a a pudding christmas ignited with cannonball a the cratchit enteredflushed with door next smell of in into and in blazing hard other to bedight a pastrycooks laundresss that a half halfaquartern holly pudding like the proudlywith speckled half like and top firm so that minute of eatinghouse brandy
550,oh a wonderful pudding bob cratchit said and calmly too that he regarded it as the greatest success achieved by mrs cratchit since their marriage,and wonderful by marriage their bob success cratchit calmly a achieved regarded the pudding too cratchit said as he since that oh greatest it mrs
551,mrs cratchit said that now the weight was off her mind she would confess she had had her doubts about the quantity of flour,she quantity she flour about had confess mind the was had her her cratchit would doubts said off mrs the weight that of now
552,everybody had something to say about it but nobody said or thought it was at all a small pudding for a large family,about thought it family for small say everybody large was had pudding nobody said or it at all but something to a a
553,it would have been flat heresy to do so,have would flat do so heresy to it been
554,any cratchit would have blushed to hint at such a thing,would any a hint thing to have cratchit blushed at such
555,at last the dinner was all done the cloth was cleared the hearth swept and the fire made up,all cloth last the hearth fire and up swept the was made done dinner was the at the cleared
556,the compound in the jug being tasted and considered perfect apples and oranges were put upon the table and a shovelfull of chestnuts on the fire,being jug on shovelfull of the and compound and considered the fire oranges upon were perfect in and the apples table a tasted the chestnuts put
557,then all the cratchit family drew round the hearth in what bob cratchit called a circle meaning half a one and at bob cratchits elbow stood the family display of glass,what the drew at all elbow a glass meaning and family bob the then cratchit one bob cratchits circle of stood called round a hearth the in family cratchit display half
558,two tumblers and a custardcup without a handle,a a without tumblers two and handle custardcup
559,these held the hot stuff from the jug however as well as golden goblets would have done and bob served it out with beaming looks while the chestnuts on the fire sputtered and cracked noisily,the and on these hot the as stuff served while have the the beaming would from however jug looks it and chestnuts as cracked well bob noisily held fire with done golden out sputtered goblets
560,then bob proposed a merry christmas to us all my dears,my a bob christmas merry dears us then to proposed all
561,god bless us which all the family reechoed,all which bless the us reechoed family god
562,god bless us every one said tiny tim the last of all,of last one said tim god every the bless all tiny us
563,he sat very close to his fathers side upon his little stool,side his upon his to little stool fathers sat he very close
564,bob held his withered little hand in his as if he loved the child and wished to keep him by his side and dreaded that he might be taken from him,him the in withered taken him be as he keep loved dreaded and by that child to wished little held might if his bob hand and he side his from his
565,spirit said scrooge with an interest he had never felt before tell me if tiny tim will live i see a vacant seat replied the ghost in the poor chimneycorner and a crutch without an owner carefully preserved,will felt a me tim spirit ghost i with in the if interest preserved carefully poor a owner chimneycorner the replied crutch see an before seat an vacant had without he and live said tiny never scrooge tell
566,if these shadows remain unaltered by the future the child will die no no said scrooge oh no kind spirit say he will be spared if these shadows remain unaltered by the future none other of my race returned the ghost will find him here,unaltered oh shadows future kind child the him remain will no said returned will by scrooge here these unaltered the if shadows if will other he none my race future no the of die remain spared spirit say these find be the ghost no by
567,what then if he be like to die he had better do it and decrease the surplus population scrooge hung his head to hear his own words quoted by the spirit and was overcome with penitence and grief,decrease be and words then his if his with quoted overcome it to grief spirit was scrooge population had hung better by hear to own like do he die penitence and the the and what surplus he head
568,man said the ghost if man you be in heart not adamant forbear that wicked cant until you have discovered what the surplus is and where it is,wicked you that adamant the said ghost until it cant in what surplus discovered not the man is forbear if is be where have and man heart you
569,will you decide what men shall live what men shall die it may be that in the sight of heaven you are more worthless and less fit to live than millions like this poor mans child,like it the you decide fit millions live men may sight die child more be what than men poor mans shall are live heaven that will less shall this what you in to of and worthless
570,oh god to hear the insect on the leaf pronouncing on the too much life among his hungry brothers in the dust scrooge bent before the ghosts rebuke and trembling cast his eyes upon the ground,the insect the the brothers pronouncing trembling upon the hear ghosts eyes too before his in hungry his leaf much life on and among the scrooge ground the on oh rebuke cast dust to god bent
571,but he raised them speedily on hearing his own name,own raised speedily name he but hearing them his on
572,mr,mr
573,scrooge said bob ill give you mr scrooge the founder of the feast the founder of the feast indeed cried mrs cratchit reddening,cratchit indeed the mr mrs you cried the feast give reddening the said founder of ill scrooge founder bob feast of scrooge the
574,i wish i had him here,i him i had here wish
575,id give him a piece of my mind to feast upon and i hope hed have a good appetite for it my dear said bob the children christmas day it should be christmas day i am sure said she on which one drinks the health of such an odious stingy hard unfeeling man as mr scrooge you know he is robert nobody knows it better than you do poor fellow my dear was bobs mild answer christmas day ill drink his health for your sake and the days said mrs cratchit not for his,answer day day for christmas dear better of cratchit was said christmas it man appetite am the poor know he hope such piece bob him odious my not hed for said should good i of health children you an and sure she his have your drinks sake day the feast i one to it scrooge days do for robert dear mrs give fellow stingy and nobody the christmas health which it drink is my than you on knows be mr bobs mind id upon a unfeeling said my mild his ill as a hard
576,long life to him a merry christmas and a happy new year hell be very merry and very happy i have no doubt the children drank the toast after her,to a the after a toast merry the life drank him children very new and very her long hell i merry have christmas no happy year doubt and be happy
577,it was the first of their proceedings which had no heartiness,heartiness of proceedings their it the was first no which had
578,tiny tim drank it last of all but he didnt care twopence for it,tiny of twopence tim he it last for all didnt it drank but care
579,scrooge was the ogre of the family,was family ogre scrooge of the the
580,the mention of his name cast a dark shadow on the party which was not dispelled for full five minutes,full dispelled the not a name five his for minutes of shadow was which cast party on dark the mention
581,after it had passed away they were ten times merrier than before from the mere relief of scrooge the baleful being done with,ten it away scrooge being were had before the mere passed baleful after done they relief times with from merrier of the than
582,bob cratchit told them how he had a situation in his eye for master peter which would bring in if obtained full fiveandsixpence weekly,fiveandsixpence peter obtained weekly bob he cratchit if full situation his bring would in eye had which a for how in master told them
583,the two young cratchits laughed tremendously at the idea of peters being a man of business and peter himself looked thoughtfully at the fire from between his collars as if he were deliberating what particular investments he should favour when he came into the receipt of that bewildering income,young himself bewildering man came being if as when at laughed between cratchits peters two his should tremendously the of collars the he favour the investments idea business income at what of thoughtfully that peter into were the fire deliberating receipt he a from he particular and looked of
584,martha who was a poor apprentice at a milliners then told them what kind of work she had to do and how many hours she worked at a stretch and how she meant to lie abed tomorrow morning for a good long rest tomorrow being a holiday she passed at home,a she a to at milliners a home stretch at good work she what worked and tomorrow a she who for at told hours then how passed martha and them to rest tomorrow apprentice do of kind many morning holiday long being meant was lie she abed had poor a how
585,also how she had seen a countess and a lord some days before and how the lord was much about as tall as peter at which peter pulled up his collars so high that you couldnt have seen his head if you had been there,countess at if have a was couldnt you and a his much the how high about so how pulled lord his as you been there collars seen peter also as lord had some had head that days before which seen peter up she and tall
586,all this time the chestnuts and the jug went round and round and byandbye they had a song about a lost child travelling in the snow from tiny tim who had a plaintive little voice and sang it very well indeed,all and lost tim child it the had voice chestnuts song travelling in tiny this little the had byandbye went very about they time plaintive from snow round and who jug round a indeed a sang a and and the well
587,there was nothing of high mark in this,mark of nothing high this there in was
588,they were not a handsome family they were not well dressed their shoes were far from being waterproof their clothes were scanty and peter might have known and very likely did the inside of a pawnbrokers,far known were they dressed family they very a clothes might handsome likely and a shoes their not pawnbrokers scanty were have did from were and not their peter waterproof were of inside being well the
589,but they were happy grateful pleased with one another and contented with the time and when they faded and looked happier yet in the bright sprinklings of the spirits torch at parting scrooge had his eye upon them and especially on tiny tim until the last,eye upon the faded were they when and at on bright especially contented looked last the of the in happy and happier tim and parting had one until another time his them scrooge grateful with and tiny torch spirits yet they pleased sprinklings with but the
590,by this time it was getting dark and snowing pretty heavily and as scrooge and the spirit went along the streets the brightness of the roaring fires in kitchens parlours and all sorts of rooms was wonderful,and heavily time kitchens the the brightness in spirit fires of went the was along sorts and the rooms and this and as parlours snowing pretty roaring it wonderful scrooge all by was of dark streets getting
591,here the flickering of the blaze showed preparations for a cosy dinner with hot plates baking through and through before the fire and deep red curtains ready to be drawn to shut out cold and darkness,out for through darkness and red the flickering baking blaze to and shut ready showed preparations here the drawn cosy plates hot deep with before dinner a and be of to through fire the curtains cold
592,there all the children of the house were running out into the snow to meet their married sisters brothers cousins uncles aunts and be the first to greet them,meet them snow the brothers first to be the to all out into greet the and were uncles house children running sisters aunts of the married there their cousins
593,here again were shadows on the windowblind of guests assembling and there a group of handsome girls all hooded and furbooted and all chattering at once tripped lightly off to some near neighbours house where woe upon the single man who saw them enterartful witches well they knew itin a glow but if you had judged from the numbers of people on their way to friendly gatherings you might have thought that no one was at home to give them welcome when they got there instead of every house expecting company and piling up its fires halfchimney high,itin off instead to well judged but give on windowblind upon their man they knew witches here there the up chattering the home girls them way shadows friendly them of expecting halfchimney company they people and high house near you and furbooted on gatherings all of saw there numbers was lightly guests fires again from enterartful the might to a piling when at at and welcome assembling single a once were its who group if that of handsome and had every house of glow have neighbours woe tripped got one to you no where hooded thought all some
594,blessings on it how the ghost exulted how it bared its breadth of breast and opened its capacious palm and floated on outpouring with a generous hand its bright and harmless mirth on everything within its reach the very lamplighter who ran on before dotting the dusky street with specks of light and who was dressed to spend the evening somewhere laughed out loudly as the spirit passed though little kenned the lamplighter that he had any company but christmas and now without a word of warning from the ghost they stood upon a bleak and desert moor where monstrous masses of rude stone were cast about as though it were the burialplace of giants and water spread itself wheresoever it listed or would have done so but for the frost that held it prisoner and nothing grew but moss and furze and coarse rank grass,before little breast of the stood and laughed would the of but how who and of wheresoever he dressed ran itself loudly of its now on but spread hand were or light dotting furze evening blessings exulted on mirth the have the and it opened listed a ghost moss spirit moor that lamplighter a and its who with held rude a done ghost and warning but the as stone without though within reach lamplighter the it any everything floated street the outpouring capacious specks was it were harmless the somewhere and coarse bared kenned upon prisoner dusky they and and cast grew it so spend out it palm to the desert and and with passed generous of as giants its though from nothing rank water christmas monstrous that very its frost on on word about bright where burialplace how had grass bleak for breadth company masses
595,down in the west the setting sun had left a streak of fiery red which glared upon the desolation for an instant like a sullen eye and frowning lower lower lower yet was lost in the thick gloom of darkest night,thick desolation the of darkest lower west glared lower sun yet which left frowning the night of fiery eye setting the a for an red sullen down was a like in gloom the lower lost had and in upon instant streak
596,what place is this asked scrooge a place where miners live who labour in the bowels of the earth returned the spirit but they know me,who in live bowels is me place a labour the what place spirit this scrooge of the earth know but where the asked miners returned they
597,see a light shone from the window of a hut and swiftly they advanced towards it,light it shone advanced they hut swiftly window the a from a towards and of see
598,passing through the wall of mud and stone they found a cheerful company assembled round a glowing fire,fire cheerful they passing found a round wall through mud assembled of company stone and the a glowing
599,an old old man and woman with their children and their childrens children and another generation beyond that all decked out gaily in their holiday attire,children another in out generation children beyond their their childrens holiday all and and old that their attire woman old an gaily man and with decked
600,the old man in a voice that seldom rose above the howling of the wind upon the barren waste was singing them a christmas songit had been a very old song when he was a boyand from time to time they all joined in the chorus,in been barren he of a very them song man time voice to waste above chorus a a christmas the time the from howling upon boyand joined all was old when songit they in old seldom the the had a wind rose that was the singing
601,so surely as they raised their voices the old man got quite blithe and loud and so surely as they stopped his vigour sank again,blithe they and so the quite surely old so man stopped sank vigour voices raised got and loud his as again they surely as their
602,the spirit did not tarry here but bade scrooge hold his robe and passing on above the moor spedwhither not to sea to sea,here spirit bade sea to scrooge the on above the robe hold not passing spedwhither but not sea to tarry did and his moor
603,to scrooges horror looking back he saw the last of the land a frightful range of rocks behind them and his ears were deafened by the thundering of water as it rolled and roared and raged among the dreadful caverns it had worn and fiercely tried to undermine the earth,of roared and rocks caverns back his behind saw dreadful as thundering rolled it deafened of and worn water the tried the earth a the range had them the undermine of among frightful by to scrooges last were raged he the to and horror fiercely looking land it and ears
604,built upon a dismal reef of sunken rocks some league or so from shore on which the waters chafed and dashed the wild year through there stood a solitary lighthouse,waters or a so and upon through from a dashed solitary wild on league dismal lighthouse the stood sunken built the which some shore chafed there reef rocks of year
605,great heaps of seaweed clung to its base and stormbirds born of the wind one might suppose as seaweed of the waterrose and fell about it like the waves they skimmed,of base suppose the and stormbirds of one born clung they of wind about waterrose it seaweed might fell skimmed as great and seaweed waves its to like heaps the the
606,but even here two men who watched the light had made a fire that through the loophole in the thick stone wall shed out a ray of brightness on the awful sea,had who fire the loophole wall here through but in made the thick watched that a on brightness the two awful shed men the sea out of ray stone a light even
607,joining their horny hands over the rough table at which they sat they wished each other merry christmas in their can of grog and one of them the elder too with his face all damaged and scarred with hard weather as the figurehead of an old ship might be struck up a sturdy song that was like a gale in itself,might wished the over table them elder the joining face and like gale up all they one a hard rough and figurehead an song christmas weather horny sat other their scarred grog in of they with sturdy which their of too itself old struck as was at of damaged that merry with hands can his a each be the in ship
608,again the ghost sped on above the black and heaving sea on onuntil being far away as he told scrooge from any shore they lighted on a ship,above a on black again scrooge shore heaving on sea onuntil any the and sped away told far ghost the from being lighted he on they as ship
609,they stood beside the helmsman at the wheel the lookout in the bow the officers who had the watch dark ghostly figures in their several stations but every man among them hummed a christmas tune or had a christmas thought or spoke below his breath to his companion of some bygone christmas day with homeward hopes belonging to it,or helmsman hopes thought at several the the officers the with stations his in a companion tune spoke but the their some stood dark a his them bygone they christmas who christmas belonging in christmas the of every had it to to below figures wheel the lookout hummed ghostly bow breath among or watch homeward day man beside had
610,and every man on board waking or sleeping good or bad had had a kinder word for another on that day than on any day in the year and had shared to some extent in its festivities and had remembered those he cared for at a distance and had known that they delighted to remember him,they him than had man day kinder for and or year on on cared in known had sleeping he or had any every that extent and for remembered those a remember board the a some festivities day its good had to waking had delighted another and shared and at on bad in to that distance word
611,it was a great surprise to scrooge while listening to the moaning of the wind and thinking what a solemn thing it was to move on through the lonely darkness over an unknown abyss whose depths were secrets as profound as death it was a great surprise to scrooge while thus engaged to hear a hearty laugh,a the unknown hearty the was abyss engaged secrets it whose laugh and it was to to surprise hear profound death darkness surprise over while move it listening through an moaning as scrooge scrooge wind while lonely of as to thinking was solemn thing a what to a the thus on depths great great were a to
612,it was a much greater surprise to scrooge to recognise it as his own nephews and to find himself in a bright dry gleaming room with the spirit standing smiling by his side and looking at that same nephew with approving affability ha ha laughed scrooges nephew,as side to that spirit laughed looking nephew and nephews a in smiling gleaming same was approving his dry recognise with standing own nephew with it ha by much a his ha scrooge to to the surprise room at affability it scrooges greater and find himself bright
613,ha ha ha if you should happen by any unlikely chance to know a man more blest in a laugh than scrooges nephew all i can say is i should like to know him too,all can by know to him ha ha i ha like should is more happen to a scrooges nephew should than any chance a man i unlikely if blest in you laugh know say too
614,introduce him to me and ill cultivate his acquaintance,his him cultivate me acquaintance to ill introduce and
615,it is a fair evenhanded noble adjustment of things that while there is infection in disease and sorrow there is nothing in the world so irresistibly contagious as laughter and goodhumour,is is sorrow things laughter contagious in is and that a noble so of in while infection adjustment nothing there it as evenhanded world goodhumour and irresistibly disease fair there the
616,when scrooges nephew laughed in this way holding his sides rolling his head and twisting his face into the most extravagant contortions scrooges niece by marriage laughed as heartily as he,his by rolling scrooges scrooges into extravagant way niece laughed laughed as most head contortions his marriage and when nephew he as twisting holding this in heartily face his sides the
617,and their assembled friends being not a bit behindhand roared out lustily,behindhand bit lustily roared and assembled not being their a friends out
618,ha ha ha ha ha ha he said that christmas was a humbug as i live cried scrooges nephew,nephew ha was that ha i ha humbug a said as cried ha ha he scrooges christmas live ha
619,he believed it too more shame for him fred said scrooges niece indignantly,niece fred shame believed it more him scrooges for he too indignantly said
620,bless those women they never do anything by halves,those anything they halves women by bless never do
621,they are always in earnest,they in are always earnest
622,she was very pretty exceedingly pretty,she exceedingly was very pretty pretty
623,with a dimpled surprisedlooking capital face a ripe little mouth that seemed made to be kissedas no doubt it was all kinds of good little dots about her chin that melted into one another when she laughed and the sunniest pair of eyes you ever saw in any little creatures head,capital doubt be face of that creatures it head the laughed eyes no good with dots her seemed little kissedas ever when to mouth in saw of kinds chin little ripe any into and one you was dimpled surprisedlooking sunniest that a another little about she a made melted pair all
624,altogether she was what you would have called provoking you know but satisfactory too,but satisfactory she was called you know you altogether have what would provoking too
625,oh perfectly satisfactory,oh satisfactory perfectly
626,hes a comical old fellow said scrooges nephew thats the truth and not so pleasant as he might be,and not thats said hes scrooges old he as nephew so be the pleasant might a fellow comical truth
627,however his offences carry their own punishment and i have nothing to say against him im sure he is very rich fred hinted scrooges niece,and their own is offences i hinted fred to he scrooges him niece his sure punishment against im say however have carry nothing rich very
628,at least you always tell me so what of that my dear said scrooges nephew,nephew you at so tell least what scrooges dear my always that me of said
629,his wealth is of no use to him,of to use is him his wealth no
630,he dont do any good with it,any do good he with dont it
631,he dont make himself comfortable with it,with it himself he make comfortable dont
632,he hasnt the satisfaction of thinkingha ha hathat he is ever going to benefit us with it i have no patience with him observed scrooges niece,benefit no patience to scrooges he the niece with hasnt hathat have going him us ha with thinkingha he of observed ever it is i satisfaction
633,scrooges nieces sisters and all the other ladies expressed the same opinion,all sisters ladies scrooges the nieces same the opinion expressed and other
634,oh i have said scrooges nephew,scrooges nephew oh i said have
635,i am sorry for him i couldnt be angry with him if i tried,him am sorry him for be couldnt angry if i i i with tried
636,who suffers by his ill whims himself always,whims his always by ill suffers who himself
637,here he takes it into his head to dislike us and he wont come and dine with us,us it come and wont to his here he into takes us head and dine with dislike he
638,whats the consequence he dont lose much of a dinner indeed i think he loses a very good dinner interrupted scrooges niece,good he interrupted loses he dinner a much dont of niece indeed very whats the a think scrooges consequence lose dinner i
639,everybody else said the same and they must be allowed to have been competent judges because they had just had dinner and with the dessert upon the table were clustered round the fire by lamplight,else be dessert they competent and allowed must because had were judges same said fire the upon lamplight been everybody with dinner round to by just the table have and the had the clustered they
640,well im very glad to hear it said scrooges nephew because i havent great faith in these young housekeepers,because i very nephew to im well housekeepers said it glad scrooges in hear these great havent young faith
641,what do you say topper topper had clearly got his eye upon one of scrooges nieces sisters for he answered that a bachelor was a wretched outcast who had no right to express an opinion on the subject,say that no wretched topper opinion one topper do the upon had subject sisters he for bachelor on outcast nieces an scrooges what clearly answered who his of you express was to got right a eye had a
642,whereat scrooges nieces sisterthe plump one with the lace tucker not the one with the rosesblushed,the lace one plump whereat not sisterthe with one tucker the nieces with rosesblushed the scrooges
643,do go on fred said scrooges niece clapping her hands,fred do niece hands scrooges on said go her clapping
644,he never finishes what he begins to say he is such a ridiculous fellow scrooges nephew revelled in another laugh and as it was impossible to keep the infection off though the plump sister tried hard to do it with aromatic vinegar his example was unanimously followed,laugh he unanimously nephew to never impossible sister scrooges keep in begins finishes it revelled plump off what followed with and though is infection hard to such aromatic say it he a his was fellow as he to example ridiculous tried do vinegar the was another the
645,i was only going to say said scrooges nephew that the consequence of his taking a dislike to us and not making merry with us is as i think that he loses some pleasant moments which could do him no harm,say he dislike loses of could some as no consequence do us to merry that his said us a think taking is to not him pleasant which with nephew that i the i making only going moments was scrooges harm and
646,i am sure he loses pleasanter companions than he can find in his own thoughts either in his mouldy old office or his dusty chambers,either mouldy find his companions pleasanter sure chambers than or can i dusty in old am own office loses thoughts in his he his he
647,i mean to give him the same chance every year whether he likes it or not for i pity him,whether not same i every year he for him to it mean chance likes i pity him give the or
648,he may rail at christmas till he dies but he cant help thinking better of iti defy himif he finds me going there in good temper year after year and saying uncle scrooge how are you if it only puts him in the vein to leave his poor clerk fifty pounds thats something and i think i shook him yesterday it was their turn to laugh now at the notion of his shaking scrooge but being thoroughly goodnatured and not much caring what they laughed at so that they laughed at any rate he encouraged them in their merriment and passed the bottle joyously,his they thoroughly rail turn in year at saying his iti and at dies better fifty at that in it if i he how what their vein goodnatured it i he thinking and thats encouraged of year the something and any now poor passed scrooge uncle joyously in their cant finds temper he to bottle are being merriment to rate laughed shook but he till the and yesterday caring after shaking me was good think only pounds laugh so you not puts but christmas him of they he himif them notion laughed the leave may there going help defy much at him clerk scrooge
649,after tea they had some music,some tea music had after they
650,for they were a musical family and knew what they were about when they sung a glee or catch i can assure you especially topper who could growl away in the bass like a good one and never swell the large veins in his forehead or get red in the face over it,or and like family the the knew especially over swell could away i a about they his they they you a were were can and what growl in in sung in a never when forehead assure red bass musical topper catch the for large good glee who it or get face veins one
651,scrooges niece played well upon the harp and played among other tunes a simple little air (a mere nothing you might learn to whistle it in two minutes) which had been familiar to the child who fetched scrooge from the boardingschool as he had been reminded by the ghost of christmas past when this strain of music sounded all the things that ghost had shown him came upon his mind he softened more and more and thought that if he could have listened to it often years ago he might have cultivated the kindnesses of life for his own happiness with his own hands without resorting to the sextons spade that buried jacob marley but they didnt devote the whole evening to music,been and to didnt whole which simple played the nothing own marley shown ghost who air it could familiar that you resorting strain might learn that by with of from years the little mind him life the played he the jacob scrooge boardingschool had his the had spade hands upon sounded without christmas cultivated more all more have this in often the music came other of that have mere fetched it scrooges the among to minutes) harp the they tunes two reminded past buried to might evening well but of a music sextons child to ghost if own his as when for listened had kindnesses he his ago upon devote to niece thought whistle (a he been things happiness he and and softened
652,after a while they played at forfeits for it is good to be children sometimes and never better than at christmas when its mighty founder was a child himself,its founder a christmas it never they to sometimes child was a and forfeits than himself played for is be children mighty after good better when while at at
653,stop there was first a game at blindmans buff,buff blindmans a there at first game was stop
654,of course there was,course of there was
655,and i no more believe topper was really blind than i believe he had eyes in his boots,blind believe had eyes his no than boots believe in i and i more he was topper really
656,my opinion is that it was a done thing between him and scrooges nephew and that the ghost of christmas present knew it,scrooges nephew that christmas a and knew of between it opinion that ghost was it my is thing the and done him present
657,the way he went after that plump sister in the lace tucker was an outrage on the credulity of human nature,an outrage the on nature sister credulity the tucker he after human went lace the that in plump way was of
658,knocking down the fireirons tumbling over the chairs bumping against the piano smothering himself among the curtains wherever she went there went he he always knew where the plump sister was,knocking fireirons smothering where was himself the plump tumbling against down went sister piano the curtains there always bumping the among wherever the chairs over the she he went he knew
659,he wouldnt catch anybody else,anybody else he catch wouldnt
660,if you had fallen up against him (as some of them did) on purpose he would have made a feint of endeavouring to seize you which would have been an affront to your understanding and would instantly have sidled off in the direction of the plump sister,have of would sidled them had seize feint plump in would the did) off would (as an sister fallen made the some to and him direction which have against been to on you affront endeavouring he if have understanding up your of instantly of you a purpose
661,she often cried out that it wasnt fair and it really was not,cried really often and was fair it wasnt it she not out that
662,but when at last he caught her when in spite of all her silken rustlings and her rapid flutterings past him he got her into a corner whence there was no escape then his conduct was the most execrable,her corner a execrable escape his got her into no he him silken then at when was but past conduct whence he rustlings most when spite caught rapid there of flutterings her in last all her and the was
663,for his pretending not to know her his pretending that it was necessary to touch her headdress and further to assure himself of her identity by pressing a certain ring upon her finger and a certain chain about her neck was vile monstrous no doubt she told him her opinion of it when another blindman being in office they were so very confidential together behind the curtains,so for know it her doubt him his together identity very pretending her certain the to of further assure headdress a and pretending by not was behind necessary office curtains they blindman upon no to told certain her his her ring chain himself her neck opinion in it of touch being was a finger monstrous when and she another were about vile to that confidential her pressing
664,scrooges niece was not one of the blindmans buff party but was made comfortable with a large chair and a footstool in a snug corner where the ghost and scrooge were close behind her,the scrooge niece where but a was were chair party and was large corner her in ghost scrooges buff behind the comfortable with a close footstool not of made a and one snug blindmans
665,but she joined in the forfeits and loved her love to admiration with all the letters of the alphabet,the to loved her and letters alphabet the love all she but the of with forfeits joined in admiration
666,likewise at the game of how when and where she was very great and to the secret joy of scrooges nephew beat her sisters hollow though they were sharp girls too as topper could have told you,of to very though secret scrooges told have they and was sharp how were sisters likewise could game as you when she hollow of beat her and the girls topper too nephew great where joy at the
667,there might have been twenty people there young and old but they all played and so did scrooge for wholly forgetting in the interest he had in what was going on that his voice made no sound in their ears he sometimes came out with his guess quite loud and very often guessed quite right too for the sharpest needle best whitechapel warranted not to cut in the eye was not sharper than scrooge blunt as he took it in his head to be,sound best was than and the played be out to came not people not the had the his they he all right in took it in wholly what been voice twenty too young in eye did as there warranted for needle and old made his but in have was loud very his sharper sharpest in might forgetting guessed for their sometimes on he blunt so often ears cut scrooge whitechapel that he there and going quite head quite guess interest scrooge with no to
